flight,flight_id,approach_id,fixture_dir,era,era_family,recording_regime,failure_reason,Y_eligible,funnel_applicability,funnel_applicability_note,frozen_compound_signature_positive,full_dies_gt4p5_proxy,never_recertifies_le3p5,definition
A064,20260717T153903-d946830d,20260717T153903-d946830d:A2,20260717T154501-phase6a-dash,phase6a,phase6,archive,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A065,20260719T074950-fab49fbf,20260719T074950-fab49fbf:A1,20260719T080320-phase6b-aligned-dash,phase6b,phase6,aligned-dash,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A066,20260719T075333-fab49fbf,20260719T075333-fab49fbf:A1,20260719T080320-phase6b-aligned-dash,phase6b,phase6,aligned-dash,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A066,20260719T075333-fab49fbf,20260719T075333-fab49fbf:A2,20260719T080320-phase6b-aligned-dash,phase6b,phase6,aligned-dash,OK,True,current-gate,legal approach under current predicate,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A067,20260719T080255-fab49fbf,20260719T080255-fab49fbf:A1,20260719T080320-phase6b-aligned-dash,phase6b,phase6,aligned-dash,OK,True,current-gate,legal approach under current predicate,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A067,20260719T080255-fab49fbf,20260719T080255-fab49fbf:A2,20260719T080320-phase6b-aligned-dash,phase6b,phase6,aligned-dash,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A068,20260719T121141-f186c83e,20260719T121141-f186c83e:A1,20260719T121704-phase6c-true-vertical,phase6c,phase6,vertical,NO_LEGAL_SIDE_MAINTENANCE_INTERVAL,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A068,20260719T121141-f186c83e,20260719T121141-f186c83e:A2,20260719T121704-phase6c-true-vertical,phase6c,phase6,vertical,NO_PARALLEL_SIDE_PRODUCTION,False,era-behavioral,historical behavior/guards partly cured; descriptive only,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A068,20260719T121141-f186c83e,20260719T121141-f186c83e:A3,20260719T121704-phase6c-true-vertical,phase6c,phase6,vertical,FULL_BELOW_3P5_NOT_EZ_USABLE,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A069,20260719T121258-f186c83e,20260719T121258-f186c83e:A1,20260719T121704-phase6c-true-vertical,phase6c,phase6,vertical,FULL_BELOW_3P5_NOT_EZ_USABLE,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A069,20260719T121258-f186c83e,20260719T121258-f186c83e:A2,20260719T121704-phase6c-true-vertical,phase6c,phase6,vertical,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A070,20260719T121637-f186c83e,20260719T121637-f186c83e:A1,20260719T121704-phase6c-true-vertical,phase6c,phase6,vertical,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A070,20260719T121637-f186c83e,20260719T121637-f186c83e:A2,20260719T121704-phase6c-true-vertical,phase6c,phase6,vertical,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A071,20260719T134326-2477345e,20260719T134326-2477345e:A1,20260719T134835-phase6d-fiction-guards,phase6d,phase6,archive,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A071,20260719T134326-2477345e,20260719T134326-2477345e:A2,20260719T134835-phase6d-fiction-guards,phase6d,phase6,archive,OK,True,current-gate,legal approach under current predicate,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A072,20260719T134446-2477345e,20260719T134446-2477345e:A1,20260719T134835-phase6d-fiction-guards,phase6d,phase6,archive,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A072,20260719T134446-2477345e,20260719T134446-2477345e:A2,20260719T134835-phase6d-fiction-guards,phase6d,phase6,archive,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A072,20260719T134446-2477345e,20260719T134446-2477345e:A3,20260719T134835-phase6d-fiction-guards,phase6d,phase6,archive,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A073,20260719T134714-2477345e,20260719T134714-2477345e:A1,20260719T134835-phase6d-fiction-guards,phase6d,phase6,archive,FULL_BELOW_3P5_NOT_EZ_USABLE,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A074,20260719T142919-a76247fb,20260719T142919-a76247fb:A1,20260719T143556-phase6e-aim-tfv1,phase6e,phase6,archive,OK,True,current-gate,legal approach under current predicate,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A075,20260719T143404-a76247fb,20260719T143404-a76247fb:A1,20260719T143556-phase6e-aim-tfv1,phase6e,phase6,archive,OK,True,current-gate,legal approach under current predicate,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A076,20260719T143525-a76247fb,20260719T143525-a76247fb:A1,20260719T143556-phase6e-aim-tfv1,phase6e,phase6,archive,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A076,20260719T143525-a76247fb,20260719T143525-a76247fb:A2,20260719T143556-phase6e-aim-tfv1,phase6e,phase6,archive,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A076,20260719T143525-a76247fb,20260719T143525-a76247fb:A3,20260719T143556-phase6e-aim-tfv1,phase6e,phase6,archive,FULL_BELOW_3P5_NOT_EZ_USABLE,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A077,20260719T144540-a76247fb,20260719T144540-a76247fb:A1,20260719T145242-phase6f-repeat,phase6f,phase6,archive,NO_PARALLEL_SIDE_PRODUCTION,False,era-behavioral,historical behavior/guards partly cured; descriptive only,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A077,20260719T144540-a76247fb,20260719T144540-a76247fb:A2,20260719T145242-phase6f-repeat,phase6f,phase6,archive,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A078,20260719T144941-a76247fb,20260719T144941-a76247fb:A1,20260719T145242-phase6f-repeat,phase6f,phase6,archive,OK,True,current-gate,legal approach under current predicate,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A078,20260719T144941-a76247fb,20260719T144941-a76247fb:A2,20260719T145242-phase6f-repeat,phase6f,phase6,archive,FULL_BELOW_3P5_NOT_EZ_USABLE,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A078,20260719T144941-a76247fb,20260719T144941-a76247fb:A3,20260719T145242-phase6f-repeat,phase6f,phase6,archive,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A078,20260719T144941-a76247fb,20260719T144941-a76247fb:A4,20260719T145242-phase6f-repeat,phase6f,phase6,archive,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A078,20260719T144941-a76247fb,20260719T144941-a76247fb:A5,20260719T145242-phase6f-repeat,phase6f,phase6,archive,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A078,20260719T144941-a76247fb,20260719T144941-a76247fb:A6,20260719T145242-phase6f-repeat,phase6f,phase6,archive,NO_LEGAL_FULL_RATE_ANCHOR,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A079,20260719T145122-a76247fb,20260719T145122-a76247fb:A1,20260719T145242-phase6f-repeat,phase6f,phase6,archive,NO_PARALLEL_SIDE_PRODUCTION,False,era-behavioral,historical behavior/guards partly cured; descriptive only,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A079,20260719T145122-a76247fb,20260719T145122-a76247fb:A2,20260719T145242-phase6f-repeat,phase6f,phase6,archive,FULL_BELOW_3P5_NOT_EZ_USABLE,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A080,20260719T150627-486b0765,20260719T150627-486b0765:A1,20260719T151340-phase6g-terminal-live,phase6g,phase6,terminal-live,OK,True,current-gate,legal approach under current predicate,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A080,20260719T150627-486b0765,20260719T150627-486b0765:A2,20260719T151340-phase6g-terminal-live,phase6g,phase6,terminal-live,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A081,20260719T151000-486b0765,20260719T151000-486b0765:A1,20260719T151340-phase6g-terminal-live,phase6g,phase6,terminal-live,NO_LEGAL_SIDE_MAINTENANCE_INTERVAL,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A081,20260719T151000-486b0765,20260719T151000-486b0765:A2,20260719T151340-phase6g-terminal-live,phase6g,phase6,terminal-live,FULL_BELOW_3P5_NOT_EZ_USABLE,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A081,20260719T151000-486b0765,20260719T151000-486b0765:A3,20260719T151340-phase6g-terminal-live,phase6g,phase6,terminal-live,NO_PARALLEL_SIDE_PRODUCTION,False,era-behavioral,historical behavior/guards partly cured; descriptive only,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A081,20260719T151000-486b0765,20260719T151000-486b0765:A4,20260719T151340-phase6g-terminal-live,phase6g,phase6,terminal-live,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A082,20260719T151227-49448448,20260719T151227-49448448:A1,20260719T151340-phase6g-terminal-live,phase6g,phase6,terminal-live,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A082,20260719T151227-49448448,20260719T151227-49448448:A2,20260719T151340-phase6g-terminal-live,phase6g,phase6,terminal-live,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A082,20260719T151227-49448448,20260719T151227-49448448:A3,20260719T151340-phase6g-terminal-live,phase6g,phase6,terminal-live,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A083,20260719T154704-f170ead6,20260719T154704-f170ead6:A1,20260719T164956-phase6h-first-enable,phase6h,phase6,first-enable,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A084,20260719T160537-f170ead6,20260719T160537-f170ead6:A1,20260719T164956-phase6h-first-enable,phase6h,phase6,first-enable,OK,True,current-gate,legal approach under current predicate,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A085,20260719T163649-f170ead6,20260719T163649-f170ead6:A1,20260719T164956-phase6h-first-enable,phase6h,phase6,first-enable,OK,True,current-gate,legal approach under current predicate,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A085,20260719T163649-f170ead6,20260719T163649-f170ead6:A2,20260719T164956-phase6h-first-enable,phase6h,phase6,first-enable,NO_PARALLEL_SIDE_PRODUCTION,False,era-behavioral,historical behavior/guards partly cured; descriptive only,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A085,20260719T163649-f170ead6,20260719T163649-f170ead6:A3,20260719T164956-phase6h-first-enable,phase6h,phase6,first-enable,FULL_BELOW_3P5_NOT_EZ_USABLE,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A086,20260719T173050-f170ead6,20260719T173050-f170ead6:A1,20260719T173811-phase6i-rate-ab,phase6i,phase6,rate-ab,NO_LEGAL_SIDE_MAINTENANCE_INTERVAL,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A086,20260719T173050-f170ead6,20260719T173050-f170ead6:A2,20260719T173811-phase6i-rate-ab,phase6i,phase6,rate-ab,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A087,20260719T173427-50f9dcc8,20260719T173427-50f9dcc8:A1,20260719T173811-phase6i-rate-ab,phase6i,phase6,rate-ab,FULL_BELOW_3P5_NOT_EZ_USABLE,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A087,20260719T173427-50f9dcc8,20260719T173427-50f9dcc8:A2,20260719T173811-phase6i-rate-ab,phase6i,phase6,rate-ab,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A087,20260719T173427-50f9dcc8,20260719T173427-50f9dcc8:A3,20260719T173811-phase6i-rate-ab,phase6i,phase6,rate-ab,NO_PARALLEL_SIDE_PRODUCTION,False,era-behavioral,historical behavior/guards partly cured; descriptive only,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A088,20260719T200816-f170ead6,20260719T200816-f170ead6:A1,20260719T204430-phase6i-r-rate-ab,phase6i,phase6,r-rate-ab,OK,True,current-gate,legal approach under current predicate,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A088,20260719T200816-f170ead6,20260719T200816-f170ead6:A2,20260719T204430-phase6i-r-rate-ab,phase6i,phase6,r-rate-ab,NO_LEGAL_FULL_RATE_ANCHOR,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A089,20260719T201038-50f9dcc8,20260719T201038-50f9dcc8:NO_CLOSE_EPOCH,20260719T204430-phase6i-r-rate-ab,phase6i,phase6,r-rate-ab,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-behavioral,historical behavior/guards partly cured; descriptive only,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A090,20260719T201630-f170ead6,20260719T201630-f170ead6:A1,20260719T204430-phase6i-r-rate-ab,phase6i,phase6,r-rate-ab,NO_PARALLEL_SIDE_PRODUCTION,False,era-behavioral,historical behavior/guards partly cured; descriptive only,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A090,20260719T201630-f170ead6,20260719T201630-f170ead6:A2,20260719T204430-phase6i-r-rate-ab,phase6i,phase6,r-rate-ab,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A090,20260719T201630-f170ead6,20260719T201630-f170ead6:A3,20260719T204430-phase6i-r-rate-ab,phase6i,phase6,r-rate-ab,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A091,20260719T201851-50f9dcc8,20260719T201851-50f9dcc8:A1,20260719T204430-phase6i-r-rate-ab,phase6i,phase6,r-rate-ab,OK,True,current-gate,legal approach under current predicate,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A091,20260719T201851-50f9dcc8,20260719T201851-50f9dcc8:A2,20260719T204430-phase6i-r-rate-ab,phase6i,phase6,r-rate-ab,NO_PARALLEL_SIDE_PRODUCTION,False,era-behavioral,historical behavior/guards partly cured; descriptive only,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A091,20260719T201851-50f9dcc8,20260719T201851-50f9dcc8:A3,20260719T204430-phase6i-r-rate-ab,phase6i,phase6,r-rate-ab,NO_LEGAL_SIDE_MAINTENANCE_INTERVAL,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A092,20260719T202445-f170ead6,20260719T202445-f170ead6:A1,20260719T204430-phase6i-r-rate-ab,phase6i,phase6,r-rate-ab,NO_PARALLEL_SIDE_PRODUCTION,False,era-behavioral,historical behavior/guards partly cured; descriptive only,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A092,20260719T202445-f170ead6,20260719T202445-f170ead6:A2,20260719T204430-phase6i-r-rate-ab,phase6i,phase6,r-rate-ab,FULL_BELOW_3P5_NOT_EZ_USABLE,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A092,20260719T202445-f170ead6,20260719T202445-f170ead6:A3,20260719T204430-phase6i-r-rate-ab,phase6i,phase6,r-rate-ab,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A092,20260719T202445-f170ead6,20260719T202445-f170ead6:A4,20260719T204430-phase6i-r-rate-ab,phase6i,phase6,r-rate-ab,FULL_BELOW_3P5_NOT_EZ_USABLE,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A093,20260719T202720-50f9dcc8,20260719T202720-50f9dcc8:A1,20260719T204430-phase6i-r-rate-ab,phase6i,phase6,r-rate-ab,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A093,20260719T202720-50f9dcc8,20260719T202720-50f9dcc8:A2,20260719T204430-phase6i-r-rate-ab,phase6i,phase6,r-rate-ab,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A094,20260720T053402-f170ead6,20260720T053402-f170ead6:A1,20260720T054037-phase6j-block-a-cohort-2,phase6j,phase6,block-a,FULL_BELOW_3P5_NOT_EZ_USABLE,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A095,20260720T053514-5cebc2b2,20260720T053514-5cebc2b2:A1,20260720T054037-phase6j-block-a-cohort-2,phase6j,phase6,block-a,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A095,20260720T053514-5cebc2b2,20260720T053514-5cebc2b2:A2,20260720T054037-phase6j-block-a-cohort-2,phase6j,phase6,block-a,NO_PARALLEL_SIDE_PRODUCTION,False,era-behavioral,historical behavior/guards partly cured; descriptive only,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A095,20260720T053514-5cebc2b2,20260720T053514-5cebc2b2:A3,20260720T054037-phase6j-block-a-cohort-2,phase6j,phase6,block-a,FULL_BELOW_3P5_NOT_EZ_USABLE,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A096,20260720T053635-f170ead6,20260720T053635-f170ead6:A1,20260720T054037-phase6j-block-a-cohort-2,phase6j,phase6,block-a,NO_LEGAL_SIDE_MAINTENANCE_INTERVAL,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A097,20260720T053745-5cebc2b2,20260720T053745-5cebc2b2:A1,20260720T054037-phase6j-block-a-cohort-2,phase6j,phase6,block-a,NO_LEGAL_SIDE_MAINTENANCE_INTERVAL,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A097,20260720T053745-5cebc2b2,20260720T053745-5cebc2b2:A2,20260720T054037-phase6j-block-a-cohort-2,phase6j,phase6,block-a,FULL_BELOW_3P5_NOT_EZ_USABLE,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A098,20260720T053905-f170ead6,20260720T053905-f170ead6:A1,20260720T054037-phase6j-block-a-cohort-2,phase6j,phase6,block-a,FULL_BELOW_3P5_NOT_EZ_USABLE,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A098,20260720T053905-f170ead6,20260720T053905-f170ead6:A2,20260720T054037-phase6j-block-a-cohort-2,phase6j,phase6,block-a,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A099,20260720T054016-5cebc2b2,20260720T054016-5cebc2b2:A1,20260720T054037-phase6j-block-a-cohort-2,phase6j,phase6,block-a,OK,True,current-gate,legal approach under current predicate,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A100,20260720T062804-c38fd469,20260720T062804-c38fd469:A1,20260720T063618-phase6k-cohort-2-redo,phase6k,phase6,cohort-2,OK,True,current-gate,legal approach under current predicate,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A100,20260720T062804-c38fd469,20260720T062804-c38fd469:A2,20260720T063618-phase6k-cohort-2-redo,phase6k,phase6,cohort-2,FULL_BELOW_3P5_NOT_EZ_USABLE,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A101,20260720T062921-790186c4,20260720T062921-790186c4:A1,20260720T063618-phase6k-cohort-2-redo,phase6k,phase6,cohort-2,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A101,20260720T062921-790186c4,20260720T062921-790186c4:A2,20260720T063618-phase6k-cohort-2-redo,phase6k,phase6,cohort-2,NO_PARALLEL_SIDE_PRODUCTION,False,era-behavioral,historical behavior/guards partly cured; descriptive only,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A102,20260720T063042-c38fd469,20260720T063042-c38fd469:A1,20260720T063618-phase6k-cohort-2-redo,phase6k,phase6,cohort-2,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
